age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
55.0,admin.,single,secondary,no,802.0,,yes,unknown,5.0,may,100.0,2.0,-1.0,,unknown,no
28.0,unemployed,single,tertiary,no,0.0,yes,,,5.0,may,125.0,2.0,-1.0,0.0,unknown,no
23.0,blue-collar,married,secondary,,94.0,,no,unknown,5.0,may,193.0,1.0,-1.0,0.0,,no
,technician,single,,no,0.0,yes,no,unknown,5.0,may,136.0,1.0,-1.0,0.0,unknown,no
43.0,services,single,unknown,no,0.0,no,no,unknown,5.0,may,73.0,1.0,,0.0,unknown,no
32.0,blue-collar,married,secondary,no,,yes,no,unknown,5.0,may,528.0,1.0,-1.0,,unknown,no
46.0,blue-collar,,,no,265.0,yes,no,unknown,5.0,may,541.0,1.0,,0.0,unknown,no
53.0,housemaid,divorced,primary,,947.0,yes,no,unknown,5.0,may,163.0,1.0,-1.0,0.0,unknown,no
34.0,self-employed,single,,no,3.0,yes,no,unknown,5.0,may,301.0,1.0,-1.0,0.0,unknown,no
57.0,unemployed,married,tertiary,no,42.0,no,no,unknown,5.0,may,46.0,1.0,-1.0,0.0,unknown,no
37.0,blue-collar,married,secondary,no,37.0,,no,unknown,5.0,may,204.0,1.0,-1.0,0.0,unknown,no
59.0,blue-collar,married,secondary,no,57.0,yes,no,unknown,5.0,may,98.0,1.0,-1.0,0.0,unknown,no
33.0,,married,secondary,no,22.0,yes,no,unknown,5.0,may,71.0,1.0,-1.0,0.0,unknown,
56.0,blue-collar,divorced,primary,no,8.0,,no,unknown,5.0,may,157.0,2.0,-1.0,0.0,unknown,no
48.0,unemployed,married,secondary,no,,yes,,unknown,5.0,,243.0,1.0,-1.0,0.0,unknown,
43.0,services,married,primary,no,3.0,yes,no,unknown,5.0,may,186.0,2.0,-1.0,0.0,unknown,no
54.0,blue-collar,married,primary,no,348.0,yes,no,unknown,5.0,,579.0,2.0,-1.0,0.0,unknown,no
51.0,blue-collar,married,unknown,no,-19.0,yes,no,unknown,,may,163.0,2.0,-1.0,0.0,unknown,
26.0,student,single,secondary,no,0.0,yes,,unknown,5.0,may,610.0,2.0,-1.0,0.0,unknown,no
40.0,management,married,tertiary,no,-4.0,yes,no,unknown,5.0,may,,1.0,-1.0,0.0,unknown,
39.0,management,married,secondary,no,18.0,yes,no,unknown,5.0,,85.0,1.0,-1.0,0.0,unknown,no
,technician,married,primary,no,139.0,,no,unknown,5.0,may,114.0,2.0,-1.0,0.0,unknown,no
,services,married,secondary,no,0.0,yes,no,unknown,5.0,may,114.0,2.0,-1.0,0.0,,no
51.0,blue-collar,married,unknown,no,1883.0,yes,no,unknown,5.0,may,,1.0,-1.0,0.0,unknown,no
60.0,retired,divorced,secondary,no,216.0,yes,no,unknown,5.0,may,238.0,1.0,-1.0,0.0,unknown,no
52.0,,married,secondary,no,782.0,yes,no,unknown,5.0,may,93.0,3.0,,0.0,unknown,no
48.0,blue-collar,married,,no,904.0,yes,no,unknown,5.0,may,128.0,2.0,-1.0,0.0,unknown,no
48.0,services,married,unknown,no,1705.0,yes,no,unknown,5.0,may,107.0,1.0,-1.0,0.0,unknown,no
39.0,technician,single,tertiary,no,47.0,yes,no,unknown,5.0,,181.0,1.0,-1.0,0.0,unknown,no
47.0,services,single,secondary,no,176.0,yes,no,unknown,5.0,may,303.0,2.0,-1.0,0.0,unknown,no
40.0,blue-collar,married,secondary,no,,yes,no,,5.0,may,558.0,5.0,-1.0,,unknown,no
45.0,technician,married,,no,86.0,yes,no,unknown,5.0,may,270.0,1.0,-1.0,,unknown,no
26.0,admin.,,secondary,no,82.0,,no,unknown,5.0,may,228.0,1.0,-1.0,0.0,unknown,no
52.0,management,married,tertiary,no,271.0,yes,no,unknown,5.0,may,99.0,1.0,-1.0,,unknown,no
54.0,technician,,secondary,no,1378.0,yes,no,unknown,5.0,may,240.0,1.0,-1.0,0.0,unknown,no
54.0,admin.,married,tertiary,no,184.0,no,no,,5.0,may,673.0,2.0,-1.0,,unknown,yes
50.0,blue-collar,married,primary,no,0.0,no,no,unknown,5.0,may,233.0,,-1.0,0.0,unknown,no
35.0,blue-collar,married,secondary,no,0.0,yes,no,unknown,,may,1056.0,1.0,-1.0,0.0,,no
44.0,services,married,secondary,no,1357.0,yes,yes,unknown,5.0,may,250.0,1.0,-1.0,0.0,unknown,no
53.0,entrepreneur,married,unknown,no,19.0,yes,no,unknown,5.0,may,252.0,1.0,-1.0,0.0,,no
,retired,single,primary,no,,,no,unknown,,may,,1.0,-1.0,0.0,unknown,no
60.0,admin.,divorced,secondary,no,92.0,yes,no,unknown,5.0,,130.0,1.0,-1.0,0.0,unknown,no
53.0,admin.,divorced,secondary,no,1151.0,yes,,unknown,5.0,may,412.0,1.0,-1.0,0.0,unknown,no
48.0,unemployed,married,secondary,no,41.0,yes,,unknown,5.0,may,179.0,2.0,-1.0,0.0,unknown,no
34.0,technician,married,secondary,,51.0,yes,no,unknown,5.0,,19.0,2.0,,0.0,unknown,no
54.0,services,married,secondary,no,214.0,yes,no,,5.0,may,,2.0,-1.0,,unknown,
51.0,management,married,secondary,,,yes,no,unknown,5.0,,717.0,1.0,-1.0,0.0,unknown,no
31.0,,married,tertiary,,37.0,yes,no,unknown,5.0,may,313.0,,-1.0,0.0,unknown,no
35.0,technician,divorced,,no,787.0,yes,no,unknown,5.0,may,683.0,2.0,-1.0,0.0,unknown,
35.0,services,married,secondary,no,59.0,yes,no,unknown,5.0,may,1077.0,1.0,-1.0,0.0,unknown,
38.0,technician,,secondary,no,253.0,yes,no,unknown,5.0,may,416.0,1.0,,0.0,unknown,no
36.0,admin.,,tertiary,no,211.0,yes,no,unknown,5.0,may,146.0,2.0,-1.0,0.0,unknown,no
58.0,retired,married,primary,,235.0,yes,no,unknown,5.0,may,167.0,1.0,,,unknown,no
40.0,services,divorced,unknown,no,4384.0,yes,no,unknown,5.0,may,315.0,1.0,-1.0,0.0,unknown,
54.0,management,married,secondary,no,4080.0,no,no,unknown,5.0,may,140.0,1.0,-1.0,,unknown,no
,blue-collar,,secondary,no,53.0,yes,yes,unknown,5.0,may,346.0,1.0,-1.0,0.0,unknown,
31.0,management,single,tertiary,no,0.0,yes,no,unknown,5.0,may,562.0,1.0,-1.0,0.0,unknown,no
,retired,married,secondary,no,2127.0,yes,no,unknown,5.0,,172.0,1.0,-1.0,0.0,unknown,no
33.0,management,married,tertiary,no,377.0,,no,,5.0,may,217.0,1.0,-1.0,0.0,,no
55.0,management,married,tertiary,no,73.0,yes,no,unknown,5.0,may,142.0,2.0,-1.0,0.0,unknown,no
42.0,admin.,married,secondary,no,445.0,yes,no,unknown,,may,67.0,1.0,-1.0,0.0,unknown,no
34.0,,married,secondary,no,243.0,yes,no,unknown,5.0,may,,1.0,-1.0,0.0,unknown,no
33.0,blue-collar,single,secondary,no,307.0,yes,,unknown,5.0,,309.0,2.0,-1.0,0.0,unknown,no
,services,married,secondary,no,155.0,yes,no,unknown,5.0,,248.0,1.0,-1.0,,unknown,no
50.0,technician,divorced,tertiary,no,173.0,no,yes,unknown,,may,98.0,1.0,-1.0,0.0,,no
43.0,management,,tertiary,no,400.0,,no,unknown,5.0,,,1.0,-1.0,0.0,unknown,no
61.0,blue-collar,divorced,,no,1428.0,yes,no,unknown,5.0,may,82.0,2.0,,0.0,unknown,no
47.0,admin.,married,,no,219.0,yes,no,unknown,5.0,may,577.0,1.0,-1.0,0.0,unknown,no
48.0,self-employed,,tertiary,,7.0,yes,no,unknown,,may,286.0,1.0,-1.0,0.0,unknown,no
44.0,blue-collar,married,secondary,no,575.0,yes,no,unknown,5.0,may,477.0,1.0,,0.0,unknown,no
35.0,student,,unknown,no,298.0,yes,no,,5.0,may,611.0,2.0,-1.0,0.0,unknown,
,services,married,secondary,no,0.0,yes,no,,5.0,,471.0,1.0,-1.0,0.0,unknown,no
50.0,services,married,secondary,no,5699.0,yes,,unknown,5.0,may,381.0,2.0,-1.0,0.0,unknown,no
41.0,management,married,tertiary,no,176.0,yes,yes,,,may,42.0,1.0,-1.0,0.0,unknown,no
41.0,,married,tertiary,no,517.0,yes,,,5.0,may,251.0,1.0,-1.0,0.0,,no
39.0,,single,unknown,no,257.0,yes,no,unknown,5.0,may,408.0,1.0,-1.0,0.0,unknown,no
42.0,retired,married,secondary,no,56.0,yes,no,unknown,5.0,,215.0,1.0,-1.0,,unknown,no
,blue-collar,married,secondary,no,,,no,unknown,,,287.0,1.0,-1.0,0.0,unknown,no
,retired,married,secondary,no,330.0,yes,no,,5.0,may,216.0,2.0,-1.0,0.0,unknown,no
59.0,housemaid,divorced,primary,,195.0,no,,unknown,5.0,may,366.0,2.0,-1.0,0.0,unknown,no
36.0,services,married,secondary,no,301.0,yes,no,unknown,5.0,may,210.0,1.0,-1.0,0.0,unknown,no
54.0,blue-collar,married,primary,no,-41.0,yes,no,unknown,5.0,may,288.0,1.0,-1.0,0.0,,no
40.0,technician,married,tertiary,no,483.0,yes,no,unknown,,may,168.0,1.0,-1.0,0.0,unknown,no
47.0,unknown,,unknown,no,28.0,no,no,unknown,5.0,may,338.0,2.0,-1.0,,unknown,
53.0,unemployed,married,unknown,no,13.0,no,no,unknown,,may,410.0,3.0,-1.0,,unknown,no
,housemaid,married,primary,no,965.0,no,no,unknown,5.0,,177.0,1.0,-1.0,0.0,unknown,no
39.0,management,married,tertiary,no,378.0,yes,yes,unknown,5.0,may,127.0,2.0,,0.0,unknown,no
40.0,unemployed,married,secondary,no,219.0,yes,no,unknown,5.0,may,357.0,1.0,-1.0,0.0,unknown,no
28.0,blue-collar,married,primary,,324.0,yes,no,unknown,5.0,may,175.0,,-1.0,0.0,unknown,no
35.0,entrepreneur,divorced,secondary,no,-69.0,yes,no,unknown,5.0,may,300.0,1.0,-1.0,,unknown,no
55.0,retired,married,secondary,,0.0,,,unknown,5.0,may,136.0,1.0,-1.0,0.0,unknown,no
43.0,technician,divorced,unknown,no,205.0,yes,no,unknown,5.0,,1419.0,1.0,-1.0,0.0,,
48.0,blue-collar,married,primary,no,278.0,yes,,,5.0,may,,2.0,-1.0,0.0,unknown,no
58.0,management,married,,no,,yes,no,unknown,5.0,may,213.0,3.0,-1.0,0.0,unknown,no
33.0,management,single,tertiary,no,34.0,,no,unknown,,may,27.0,1.0,-1.0,0.0,unknown,no
36.0,,married,unknown,no,1033.0,no,no,unknown,5.0,may,238.0,2.0,-1.0,0.0,unknown,no
53.0,services,divorced,secondary,no,1467.0,yes,no,unknown,5.0,may,124.0,1.0,,0.0,unknown,no
47.0,blue-collar,married,primary,no,-12.0,yes,no,unknown,5.0,may,18.0,1.0,-1.0,0.0,unknown,no
31.0,services,married,secondary,no,388.0,yes,no,unknown,5.0,may,,2.0,-1.0,0.0,unknown,no
57.0,entrepreneur,married,secondary,no,294.0,yes,no,unknown,,may,746.0,2.0,-1.0,0.0,unknown,no
53.0,blue-collar,married,unknown,no,1827.0,no,,unknown,5.0,may,121.0,1.0,-1.0,0.0,,no
55.0,blue-collar,,primary,no,627.0,,no,unknown,5.0,,247.0,1.0,-1.0,0.0,unknown,no
45.0,blue-collar,married,primary,no,25.0,yes,no,unknown,5.0,may,,1.0,-1.0,0.0,,no
53.0,admin.,divorced,secondary,no,315.0,yes,no,unknown,5.0,may,181.0,2.0,-1.0,0.0,,no
,,married,primary,no,0.0,yes,no,unknown,5.0,may,79.0,1.0,-1.0,0.0,,no
44.0,admin.,divorced,secondary,no,66.0,yes,no,unknown,5.0,may,206.0,1.0,-1.0,0.0,unknown,no
,blue-collar,divorced,primary,no,-9.0,yes,yes,unknown,5.0,may,389.0,1.0,,,unknown,no
46.0,technician,married,secondary,no,349.0,yes,yes,unknown,5.0,may,127.0,1.0,-1.0,0.0,,no
43.0,entrepreneur,married,unknown,no,,yes,no,unknown,5.0,may,702.0,1.0,-1.0,0.0,unknown,no
38.0,admin.,married,secondary,no,0.0,no,no,unknown,5.0,may,151.0,1.0,-1.0,0.0,unknown,no
43.0,technician,married,secondary,no,434.0,,,unknown,5.0,may,,1.0,-1.0,0.0,unknown,no
49.0,management,married,tertiary,no,3237.0,yes,,unknown,5.0,may,232.0,3.0,,0.0,,no
42.0,management,married,unknown,no,275.0,no,no,unknown,5.0,,408.0,2.0,-1.0,0.0,unknown,no
22.0,blue-collar,single,secondary,no,0.0,yes,no,unknown,5.0,,179.0,2.0,-1.0,0.0,unknown,no
,,married,tertiary,,207.0,yes,no,unknown,5.0,may,39.0,1.0,-1.0,0.0,unknown,no
,blue-collar,married,secondary,no,483.0,yes,no,unknown,5.0,may,282.0,,-1.0,0.0,,no
51.0,services,,secondary,no,2248.0,yes,,unknown,5.0,may,714.0,2.0,-1.0,0.0,unknown,no
49.0,admin.,married,,no,428.0,yes,no,unknown,5.0,may,50.0,1.0,-1.0,0.0,,
53.0,blue-collar,married,secondary,no,0.0,yes,yes,unknown,5.0,may,,,-1.0,0.0,,no
34.0,services,single,secondary,no,0.0,yes,no,unknown,5.0,may,142.0,,-1.0,,,no
33.0,technician,divorced,secondary,no,140.0,yes,no,unknown,5.0,may,227.0,1.0,-1.0,0.0,unknown,no
50.0,management,,tertiary,no,297.0,,no,,5.0,may,119.0,,-1.0,,unknown,no
